rounds,key,blocks,vars,clauses,literals,path
10,1,1,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K1/instances/simon32_64_r10_key1_b1_reverse_round.cnf
10,1,2,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K1/instances/simon32_64_r10_key1_b2_reverse_round.cnf
10,1,4,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K1/instances/simon32_64_r10_key1_b4_reverse_round.cnf
10,1,8,27040,80416,186272,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K1/instances/simon32_64_r10_key1_b8_reverse_round.cnf
10,2,1,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K2/instances/simon32_64_r10_key2_b1_reverse_round.cnf
10,2,2,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K2/instances/simon32_64_r10_key2_b2_reverse_round.cnf
10,2,4,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K2/instances/simon32_64_r10_key2_b4_reverse_round.cnf
10,2,8,27040,80416,186272,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K2/instances/simon32_64_r10_key2_b8_reverse_round.cnf
10,3,1,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K3/instances/simon32_64_r10_key3_b1_reverse_round.cnf
10,3,2,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K3/instances/simon32_64_r10_key3_b2_reverse_round.cnf
10,3,4,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K3/instances/simon32_64_r10_key3_b4_reverse_round.cnf
10,3,8,27040,80416,186272,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K3/instances/simon32_64_r10_key3_b8_reverse_round.cnf
10,4,1,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K4/instances/simon32_64_r10_key4_b1_reverse_round.cnf
10,4,2,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K4/instances/simon32_64_r10_key4_b2_reverse_round.cnf
10,4,4,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K4/instances/simon32_64_r10_key4_b4_reverse_round.cnf
10,4,8,27040,80416,186272,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K4/instances/simon32_64_r10_key4_b8_reverse_round.cnf
10,5,1,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K5/instances/simon32_64_r10_key5_b1_reverse_round.cnf
10,5,2,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K5/instances/simon32_64_r10_key5_b2_reverse_round.cnf
10,5,4,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K5/instances/simon32_64_r10_key5_b4_reverse_round.cnf
10,5,8,27040,80416,186272,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/10roundsCNF/K5/instances/simon32_64_r10_key5_b8_reverse_round.cnf
11,1,1,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K1/instances/simon32_64_r11_key1_b1_reverse_round.cnf
11,1,2,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K1/instances/simon32_64_r11_key1_b2_reverse_round.cnf
11,1,4,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K1/instances/simon32_64_r11_key1_b4_reverse_round.cnf
11,1,8,29744,88528,205200,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K1/instances/simon32_64_r11_key1_b8_reverse_round.cnf
11,2,1,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K2/instances/simon32_64_r11_key2_b1_reverse_round.cnf
11,2,2,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K2/instances/simon32_64_r11_key2_b2_reverse_round.cnf
11,2,4,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K2/instances/simon32_64_r11_key2_b4_reverse_round.cnf
11,2,8,29744,88528,205200,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K2/instances/simon32_64_r11_key2_b8_reverse_round.cnf
11,3,1,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K3/instances/simon32_64_r11_key3_b1_reverse_round.cnf
11,3,2,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K3/instances/simon32_64_r11_key3_b2_reverse_round.cnf
11,3,4,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K3/instances/simon32_64_r11_key3_b4_reverse_round.cnf
11,3,8,29744,88528,205200,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K3/instances/simon32_64_r11_key3_b8_reverse_round.cnf
11,4,1,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K4/instances/simon32_64_r11_key4_b1_reverse_round.cnf
11,4,2,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K4/instances/simon32_64_r11_key4_b2_reverse_round.cnf
11,4,4,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K4/instances/simon32_64_r11_key4_b4_reverse_round.cnf
11,4,8,29744,88528,205200,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K4/instances/simon32_64_r11_key4_b8_reverse_round.cnf
11,5,1,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K5/instances/simon32_64_r11_key5_b1_reverse_round.cnf
11,5,2,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K5/instances/simon32_64_r11_key5_b2_reverse_round.cnf
11,5,4,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K5/instances/simon32_64_r11_key5_b4_reverse_round.cnf
11,5,8,29744,88528,205200,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/11roundsCNF/K5/instances/simon32_64_r11_key5_b8_reverse_round.cnf
12,1,1,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K1/instances/simon32_64_r12_key1_b1_reverse_round.cnf
12,1,2,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K1/instances/simon32_64_r12_key1_b2_reverse_round.cnf
12,1,4,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K1/instances/simon32_64_r12_key1_b4_reverse_round.cnf
12,1,8,32448,96640,224128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K1/instances/simon32_64_r12_key1_b8_reverse_round.cnf
12,2,1,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K2/instances/simon32_64_r12_key2_b1_reverse_round.cnf
12,2,2,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K2/instances/simon32_64_r12_key2_b2_reverse_round.cnf
12,2,4,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K2/instances/simon32_64_r12_key2_b4_reverse_round.cnf
12,2,8,32448,96640,224128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K2/instances/simon32_64_r12_key2_b8_reverse_round.cnf
12,3,1,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K3/instances/simon32_64_r12_key3_b1_reverse_round.cnf
12,3,2,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K3/instances/simon32_64_r12_key3_b2_reverse_round.cnf
12,3,4,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K3/instances/simon32_64_r12_key3_b4_reverse_round.cnf
12,3,8,32448,96640,224128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K3/instances/simon32_64_r12_key3_b8_reverse_round.cnf
12,4,1,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K4/instances/simon32_64_r12_key4_b1_reverse_round.cnf
12,4,2,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K4/instances/simon32_64_r12_key4_b2_reverse_round.cnf
12,4,4,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K4/instances/simon32_64_r12_key4_b4_reverse_round.cnf
12,4,8,32448,96640,224128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K4/instances/simon32_64_r12_key4_b8_reverse_round.cnf
12,5,1,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K5/instances/simon32_64_r12_key5_b1_reverse_round.cnf
12,5,2,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K5/instances/simon32_64_r12_key5_b2_reverse_round.cnf
12,5,4,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K5/instances/simon32_64_r12_key5_b4_reverse_round.cnf
12,5,8,32448,96640,224128,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/12roundsCNF/K5/instances/simon32_64_r12_key5_b8_reverse_round.cnf
13,1,1,5584,16496,38320,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K1/instances/simon32_64_r13_key1_b1_reverse_round.cnf
13,1,2,9808,29104,67568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K1/instances/simon32_64_r13_key1_b2_reverse_round.cnf
13,1,4,18256,54320,126064,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K1/instances/simon32_64_r13_key1_b4_reverse_round.cnf
13,1,8,35152,104752,243056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K1/instances/simon32_64_r13_key1_b8_reverse_round.cnf
13,2,1,5584,16496,38320,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K2/instances/simon32_64_r13_key2_b1_reverse_round.cnf
13,2,2,9808,29104,67568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K2/instances/simon32_64_r13_key2_b2_reverse_round.cnf
13,2,4,18256,54320,126064,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K2/instances/simon32_64_r13_key2_b4_reverse_round.cnf
13,2,8,35152,104752,243056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K2/instances/simon32_64_r13_key2_b8_reverse_round.cnf
13,3,1,5584,16496,38320,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K3/instances/simon32_64_r13_key3_b1_reverse_round.cnf
13,3,2,9808,29104,67568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K3/instances/simon32_64_r13_key3_b2_reverse_round.cnf
13,3,4,18256,54320,126064,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K3/instances/simon32_64_r13_key3_b4_reverse_round.cnf
13,3,8,35152,104752,243056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K3/instances/simon32_64_r13_key3_b8_reverse_round.cnf
13,4,1,5584,16496,38320,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K4/instances/simon32_64_r13_key4_b1_reverse_round.cnf
13,4,2,9808,29104,67568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K4/instances/simon32_64_r13_key4_b2_reverse_round.cnf
13,4,4,18256,54320,126064,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K4/instances/simon32_64_r13_key4_b4_reverse_round.cnf
13,4,8,35152,104752,243056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K4/instances/simon32_64_r13_key4_b8_reverse_round.cnf
13,5,1,5584,16496,38320,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K5/instances/simon32_64_r13_key5_b1_reverse_round.cnf
13,5,2,9808,29104,67568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K5/instances/simon32_64_r13_key5_b2_reverse_round.cnf
13,5,4,18256,54320,126064,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K5/instances/simon32_64_r13_key5_b4_reverse_round.cnf
13,5,8,35152,104752,243056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K5/instances/simon32_64_r13_key5_b8_reverse_round.cnf
14,1,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b1_reverse_round.cnf
14,1,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b2_reverse_round.cnf
14,1,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b4_reverse_round.cnf
14,1,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b8_reverse_round.cnf
14,2,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b1_reverse_round.cnf
14,2,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b2_reverse_round.cnf
14,2,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b4_reverse_round.cnf
14,2,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b8_reverse_round.cnf
14,3,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b1_reverse_round.cnf
14,3,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b2_reverse_round.cnf
14,3,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b4_reverse_round.cnf
14,3,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b8_reverse_round.cnf
14,4,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b1_reverse_round.cnf
14,4,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b2_reverse_round.cnf
14,4,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b4_reverse_round.cnf
14,4,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b8_reverse_round.cnf
14,5,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b1_reverse_round.cnf
14,5,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b2_reverse_round.cnf
14,5,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b4_reverse_round.cnf
14,5,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b8_reverse_round.cnf
